Table with column headers in row 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2012 Poverty and Median Household Income Estimates - Counties, States, and National                             Source:  U.S. Census Bureau, Small Area Income and Poverty Estimates (SAIPE) Program      Release date:  December 2013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State FIPS Code,County FIPS Code,Postal Code,Name,"Poverty Estimate, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, All Ages",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Under Age 18",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Under Age 18",90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Ages 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Ages 5-17 in Families",90% CI Lower Bound,90% CI Upper Bound,Median Household Income,90% CI Lower Bound,90% CI Upper Bound,"Poverty Estimate, Ages 0-4",90% CI Lower Bound,90% CI Upper Bound,"Poverty Percent, Ages 0-4",90% CI Lower Bound,90% CI Upper Bound
01,055,AL,Etowah County,"21,508","18,525","24,491",21.0,18.1,23.9,"7,270","6,080","8,460",31.0,25.9,36.1,"5,192","4,343","6,041",30.0,25.1,34.9,"35,737","33,104","38,370",.,.,.,.,.,.
01,057,AL,Fayette County,"2,942","2,301","3,583",17.6,13.8,21.4,"1,008",775,"1,241",27.5,21.1,33.9,713,545,881,26.2,20.0,32.4,"35,720","32,757","38,683",.,.,.,.,.,.
01,059,AL,Franklin County,"6,116","4,908","7,324",19.5,15.7,23.3,"2,437","1,904","2,970",31.4,24.5,38.3,"1,719","1,317","2,121",30.9,23.7,38.1,"33,173","30,442","35,904",.,.,.,.,.,.
01,061,AL,Geneva County,"6,086","5,166","7,006",22.8,19.3,26.3,"2,098","1,691","2,505",35.8,28.9,42.7,"1,460","1,154","1,766",33.2,26.2,40.2,"33,347","30,525","36,169",.,.,.,.,.,.
01,063,AL,Greene County,"3,011","2,383","3,639",34.1,27.0,41.2,"1,014",795,"1,233",48.2,37.8,58.6,695,541,849,45.0,35.0,55.0,"24,592","22,485","26,699",.,.,.,.,.,.
01,065,AL,Hale County,"4,198","3,487","4,909",27.9,23.2,32.6,"1,419","1,138","1,700",38.7,31.1,46.3,960,765,"1,155",34.8,27.7,41.9,"31,025","28,104","33,946",.,.,.,.,.,.
01,067,AL,Henry County,"3,275","2,670","3,880",19.2,15.7,22.7,"1,120",889,"1,351",29.2,23.2,35.2,790,625,955,27.8,22.0,33.6,"37,108","33,652","40,564",.,.,.,.,.,.
01,069,AL,Houston County,"19,414","17,440","21,388",19.0,17.1,20.9,"7,114","6,156","8,072",28.9,25.0,32.8,"4,769","4,060","5,478",26.7,22.7,30.7,"40,609","38,486","42,732",.,.,.,.,.,.
01,071,AL,Jackson County,"8,610","6,892","10,328",16.4,13.1,19.7,"2,883","2,256","3,510",25.0,19.6,30.4,"2,076","1,624","2,528",24.0,18.8,29.2,"39,618","36,601","42,635",.,.,.,.,.,.
01,073,AL,Jefferson County,"120,153","110,955","129,351",18.6,17.2,20.0,"42,170","38,386","45,954",27.6,25.1,30.1,"27,819","25,003","30,635",25.8,23.2,28.4,"43,967","42,078","45,856",.,.,.,.,.,.
